股票代码,股票简称,总股本,流通股,总市值,流通市值,行业,上市时间
002355,兴民智通,620570400.0,617166650.0,2836006728.0,2820451590.5,汽车零部件,20100209
688798,艾为电子,232008945.0,134623549.0,12275593279.949999,7122931977.589999,半导体,20210816
002256,兆新股份,1954589402.0,1439366052.0,4339188472.440001,3195392635.44,电网设备,20080625
300199,翰宇药业,883241336.0,666033813.0,10749047059.12,8105631504.21,化学制药,20110407
688399,硕世生物,58620000.0,58620000.0,3989091000.0,3989091000.0,医疗器械,20191205
300322,硕贝德,465746427.0,443544112.0,5216359982.4,4967694054.4,消费电子,20120608
688362,甬矽电子,407660000.0,275425000.0,8185812799.999999,5530534000.0,半导体,20221116
603021,山东华鹏,319948070.0,319948070.0,1346981374.7,1346981374.7,玻璃玻纤,20150423
603335,迪生力,428144600.0,428144600.0,2252040596.0,2252040596.0,汽车零部件,20170620
600022,山东钢铁,10698849554.0,10698849554.0,14229469906.820002,14229469906.820002,钢铁行业,20040629
603626,科森科技,554879690.0,554879690.0,4272573613.0,4272573613.0,消费电子,20170209
300686,智动力,265624240.0,198670887.0,2124993920.0,1589367096.0,消费电子,20170804
600246,万通发展,1987381962.0,1987381962.0,14249528667.539999,14249528667.539999,房地产开发,20000922
300489,光智科技,137672835.0,136466431.0,2519412880.5,2497335687.3,有色金属,20150701
300108,ST吉药,666014674.0,656559424.0,1471892429.54,1450996327.04,中药,20100825
603717,天域生态,290146240.0,290146240.0,1929472496.0,1929472496.0,工程建设,20170327
601360,三六零,7145363197.0,7145363197.0,62307567077.840004,62307567077.840004,软件开发,20120116
002326,永太科技,913760795.0,804032935.0,9503112268.0,8361942524.0,化学制品,20091222
002403,爱仕达,340638579.0,305936454.0,3038496124.68,2728953169.68,家电行业,20100511
300671,富满微,217724473.0,217019666.0,5323363364.849999,5306130833.7,半导体,20170705
600171,上海贝岭,711810799.0,706130773.0,8833572015.59,8763082892.93,半导体,19980924
002819,东方中科,300578566.0,234746604.0,7610649291.12,5943784013.28,仪器仪表,20161111
002313,日海智能,374400000.0,374185600.0,3800160000.0,3797983840.0,通信设备,20091203
300598,诚迈科技,166932109.0,166885366.0,6877602890.8,6875677079.200001,软件开发,20170120
688030,山石网科,180229401.0,180229401.0,2406062503.35,2406062503.35,软件开发,20190930
300204,舒泰神,477772555.0,471639184.0,3229742471.7999997,3188280883.8399997,生物制品,20110415
000572,海马汽车,1644636426.0,1642155224.0,7252846638.66,7241904537.84,汽车整车,19940808
002682,龙洲股份,562368594.0,562360194.0,2974929862.26,2974885426.26,物流行业,20120612
301152,天力锂能,121982307.0,75102307.0,3261806889.18,2008235689.1799998,电池,20220829
002109,兴化股份,1276269851.0,1052944789.0,4977452418.9,4106484677.1,化学原料,20070126
300093,金刚光伏,216000000.0,215220700.0,3913920000.0,3899799084.0,光伏设备,20100708
300082,奥克股份,680098200.0,678207963.0,3393690018.0,3384257735.3700004,化学原料,20100520
688110,东芯股份,442249758.0,276536733.0,10277884375.92,6426713674.919999,半导体,20211210
605069,正和生态,211697778.0,84161278.0,1661827557.3,660666032.3,环保行业,20210816
300353,东土科技,614892881.0,522202547.0,6167375596.429999,5237691546.41,通信设备,20120927
688114,华大智造,415637624.0,211785437.0,24580809083.36,12524990744.18,医疗器械,20220909
688788,科思科技,105747925.0,105747925.0,3091011847.75,3091011847.75,通信设备,20201022
600746,江苏索普,1167842884.0,1166082347.0,7357410169.2,7346318786.099999,化学原料,19960918
300436,广生堂,159267000.0,135544326.0,3008553630.0,2560432318.14,化学制药,20150422
000599,青岛双星,816758987.0,816745112.0,4655526225.900001,4655447138.400001,橡胶制品,19960430
002005,ST德豪,1752424858.0,1752424858.0,2032812835.28,2032812835.28,家电行业,20040625
002621,美吉姆,822237930.0,802350643.0,1998038169.9,1949712062.49,教育,20110929
300391,长药控股,350336112.0,350336112.0,1776204087.8400002,1776204087.8400002,医疗器械,20140801
300256,星星科技,2268393386.0,1643393386.0,5421460192.54,3927710192.5400004,消费电子,20110819
600070,ST富润,507420732.0,506720732.0,948876768.84,947567768.84,互联网服务,19970604
002665,首航高科,2503942925.0,2464328827.0,5358437859.5,5273663689.780001,电源设备,20120327
000701,厦门信达,687178106.0,520478478.0,3621428618.62,2742921579.06,商业百货,19970226
001330,博纳影业,1374518984.0,1055178085.0,9250512762.32,7101348512.05,文化传媒,20220818
688225,亚信安全,400010000.0,191043252.0,6124153100.0,2924872188.12,软件开发,20220209
600433,冠豪高新,1845340878.0,1449663313.0,5351488546.2,4204023607.7,造纸印刷,20030619
688266,泽璟制药-U,264708186.0,264708186.0,14267771225.4,14267771225.4,化学制药,20200123
002805,丰元股份,280062508.0,215549828.0,3562395101.76,2741793812.1600003,化学原料,20160707
300094,国联水产,1128167253.0,1105104899.0,4783429152.72,4685644771.76,食品饮料,20100708
002214,大立科技,599237935.0,477861127.0,9467959373.0,7550205806.6,电子元件,20080218
000010,美丽生态,1149652292.0,522171498.0,2713179409.12,1232324735.28,工程建设,19951027
002740,*ST爱迪,-,-,-,-,-,20150122
002755,奥赛康,928160351.0,928151576.0,9810654910.07,9810562158.32,化学制药,20150515
603557,ST起步,538674708.0,538674708.0,797238567.84,797238567.84,纺织服装,20170818
300552,万集科技,213133112.0,125882232.0,6400387353.360001,3780243426.96,软件开发,20161021
605296,神农集团,525043452.0,67573415.0,19127332956.36,2461699508.45,农牧饲渔,20210528
688322,奥比中光-UW,400001000.0,245933260.0,12060030150.0,7414887789.0,电子元件,20220707
600673,东阳光,3013874259.0,3001557927.0,26491954736.609997,26383694178.329998,综合行业,19930917
600844,丹化科技,1016524240.0,822730634.0,3405356204.0,2756147623.9,化学原料,19940311
688387,信科移动-U,3418750000.0,667221075.0,23521000000.0,4590480996.0,通信设备,20220926
002369,卓翼科技,566956280.0,566197636.0,2715720581.2,2712086676.44,消费电子,20100316
688382,益方生物-U,576658841.0,396178961.0,5795421352.05,3981598558.05,生物制品,20220725
600303,ST曙光,675604211.0,675604211.0,2688904759.78,2688904759.78,汽车整车,20001226
