股票代码,股票简称,总股本,流通股,总市值,流通市值,行业,上市时间
603979,金诚信,617532119.0,617532119.0,31796728807.31,31796728807.31,采掘行业,20150630
601231,环旭电子,2210315689.0,2210315689.0,31740133294.039997,31740133294.039997,消费电子,20120220
002414,高德红外,4270736108.0,3398046737.0,31646154560.28,25179526321.170002,电子元件,20100716
603606,东方电缆,687715368.0,687715368.0,31600521159.600002,31600521159.600002,电网设备,20141015
600998,九州通,3908891654.0,3908891654.0,31583844564.32,31583844564.32,医药商业,20101102
600487,亨通光电,2466734657.0,2466734657.0,31574203609.600002,31574203609.600002,通信设备,20030822
300251,光线传媒,2933608432.0,2787223354.0,31565626728.32,29990523289.04,文化传媒,20110803
601577,长沙银行,4021553754.0,4020596589.0,31488765893.82,31481271291.87,银行,20180926
601216,君正集团,8438017390.0,8438017390.0,31473804864.7,31473804864.7,化学原料,20110222
002673,西部证券,4469581705.0,4109194608.0,31287071935.0,28764362256.0,证券,20120503
600895,张江高科,1548689550.0,1548689550.0,31283528910.0,31283528910.0,房地产开发,19960422
000783,长江证券,5530072948.0,5530072948.0,31189611426.719997,31189611426.719997,证券,19970731
601966,玲珑轮胎,1473522713.0,1473522713.0,31120799698.56,31120799698.56,橡胶制品,20160706
600378,昊华科技,911473807.0,903946881.0,31017453652.210003,30761312360.43,化学制品,20010111
600995,南网储能,3196005805.0,1109101643.0,30937336192.399998,10736103904.24,电力行业,20040615
600970,中材国际,2642317423.0,1742598393.0,30915113849.1,20388401198.1,工程建设,20050412
688538,和辉光电-U,13856908761.0,5752235725.0,30900906537.03,12827485666.75,光学光电子,20210528
600153,建发股份,3004071338.0,2853380626.0,30881853354.64,29332752835.28,贸易行业,19980616
600060,海信视像,1305401055.0,1289081222.0,30846626929.649998,30460989275.86,家电行业,19970422
600295,鄂尔多斯,2798776254.0,1975576254.0,30758551031.46,21711583031.46,钢铁行业,20010426
600118,中国卫星,1182489135.0,1182489135.0,30721067727.3,30721067727.3,航天航空,19970908
603816,顾家家居,821891519.0,821891519.0,30697648234.65,30697648234.65,装修建材,20161014
600546,山煤国际,1982456140.0,1982456140.0,30628947363.0,30628947363.0,煤炭行业,20030731
300661,圣邦股份,467421443.0,447895542.0,30522620227.899998,29247578892.6,半导体,20170606
601666,平煤股份,2476311531.0,2464025931.0,30508158061.920002,30356799469.920002,煤炭行业,20061123
002939,长城证券,4034426956.0,3487622957.0,30459923517.8,26331553325.35,证券,20181026
000733,振华科技,554169431.0,522064668.0,30457151927.760002,28692674153.28,电子元件,19970703
300751,迈为股份,279110759.0,193058162.0,30423072731.0,21043339658.0,光伏设备,20181109
600873,梅花生物,2943426102.0,2943426102.0,30405591633.66,30405591633.66,食品饮料,19950217
300223,北京君正,481569911.0,415805889.0,30387061384.100002,26237351595.9,半导体,20110531
600863,内蒙华电,6526887811.0,6526887811.0,30350028321.15,30350028321.15,电力行业,19940520
603338,浙江鼎力,506347879.0,506347879.0,30173270109.61,30173270109.61,工程机械,20150325
002430,杭氧股份,984310928.0,971384358.0,30080541959.68,29685505980.48,专用设备,20100610
002608,江苏国信,3778079704.0,3778079704.0,30073514443.84,30073514443.84,电力行业,20110810
002152,广电运通,2483382898.0,2482133713.0,29999265407.84,29984175253.04,计算机设备,20070813
600157,永泰能源,22217764145.0,22217764145.0,29993981595.750004,29993981595.750004,电力行业,19980513
600754,锦江酒店,1070044063.0,914044063.0,29982634645.26,25611514645.26,旅游酒店,19961011
600582,天地科技,4138588892.0,4138588892.0,29797840022.4,29797840022.4,专用设备,20020515
000831,中国稀土,1061220807.0,980888981.0,29724794804.070004,27474700357.81,小金属,19980911
600038,中直股份,731605986.0,589476716.0,29703203031.600002,23932754669.600002,航天航空,20001218
603000,人民网,1105691056.0,1105691056.0,29676747943.04,29676747943.04,文化传媒,20120427
600583,海油工程,4421354800.0,4421354800.0,29402009420.0,29402009420.0,采掘行业,20020205
000629,钒钛股份,9295033245.0,9195473670.0,29279354721.75,28965742060.5,钢铁行业,19961115
688617,惠泰医疗,66861357.0,66861357.0,29207715191.879997,29207715191.879997,医疗器械,20210107
300146,汤臣倍健,1700822631.0,1129963734.0,29203124574.270004,19401477312.780003,食品饮料,20101215
002653,海思科,1114117970.0,517490208.0,29189890814.0,13558243449.6,化学制药,20120117
600688,上海石化,10799285500.0,7328813500.0,29158070850.000004,19787796450.0,石油行业,19931108
600801,华新水泥,2078995649.0,1344275649.0,29085149129.510002,18806416329.510002,水泥建材,19940103
000728,国元证券,4363777891.0,4363777891.0,29062760754.06,29062760754.06,证券,19970616
601156,东航物流,1587555556.0,801715556.0,29036391119.239998,14663377519.24,物流行业,20210609
600707,彩虹股份,3588389732.0,3587669732.0,29030072931.88,29024248131.88,光学光电子,19960520
601990,南京证券,3686361034.0,3659788847.0,28974797727.24,28765940337.420002,证券,20180613
688331,荣昌生物,544332083.0,161947712.0,28974796778.09,8620476709.76,生物制品,20220331
600282,南钢股份,6165091011.0,6165091011.0,28914276841.590004,28914276841.590004,钢铁行业,20000919
688819,天能股份,972100000.0,972100000.0,28832486000.0,28832486000.0,电池,20210118
002465,海格通信,2481833948.0,2300528382.0,28789273796.8,26686129231.2,通信设备,20100831
600988,赤峰黄金,1663911378.0,1663911378.0,28752388611.84,28752388611.84,贵金属,20040414
